[2026-06-16 15:47:28] Starting subprocess-based zero-downtime proof simulator with client failover retry...
[2026-06-16 15:47:28] Detected max keys for reads: 1000
[2026-06-16 15:47:28] Entering main simulation loop. Press Ctrl+C to stop.
[2026-06-16 15:57:51] Progress: Ops=20600 | Reads=10300 (Fails=0) | Writes=10300 (Fails=0) | Success Rate=100.00% | Elapsed=623.1s
[2026-06-16 15:57:57] Progress: Ops=20800 | Reads=10400 (Fails=0) | Writes=10400 (Fails=0) | Success Rate=100.00% | Elapsed=629.0s
[2026-06-16 15:58:03] Progress: Ops=21000 | Reads=10500 (Fails=0) | Writes=10500 (Fails=0) | Success Rate=100.00% | Elapsed=634.9s
[2026-06-16 15:58:09] Progress: Ops=21200 | Reads=10600 (Fails=0) | Writes=10600 (Fails=0) | Success Rate=100.00% | Elapsed=641.1s
[2026-06-16 15:58:15] Progress: Ops=21400 | Reads=10700 (Fails=0) | Writes=10700 (Fails=0) | Success Rate=100.00% | Elapsed=646.9s
[2026-06-16 15:58:21] Progress: Ops=21600 | Reads=10800 (Fails=0) | Writes=10800 (Fails=0) | Success Rate=100.00% | Elapsed=653.1s
[2026-06-16 15:58:27] Progress: Ops=21800 | Reads=10900 (Fails=0) | Writes=10900 (Fails=0) | Success Rate=100.00% | Elapsed=659.6s
[2026-06-16 15:58:33] Progress: Ops=22000 | Reads=11000 (Fails=0) | Writes=11000 (Fails=0) | Success Rate=100.00% | Elapsed=665.7s
[2026-06-16 15:58:40] Progress: Ops=22200 | Reads=11100 (Fails=0) | Writes=11100 (Fails=0) | Success Rate=100.00% | Elapsed=672.2s
[2026-06-16 15:58:46] Progress: Ops=22400 | Reads=11200 (Fails=0) | Writes=11200 (Fails=0) | Success Rate=100.00% | Elapsed=678.5s
[2026-06-16 15:58:52] Progress: Ops=22600 | Reads=11300 (Fails=0) | Writes=11300 (Fails=0) | Success Rate=100.00% | Elapsed=684.8s
[2026-06-16 15:58:58] Progress: Ops=22800 | Reads=11400 (Fails=0) | Writes=11400 (Fails=0) | Success Rate=100.00% | Elapsed=690.8s
[2026-06-16 15:59:04] Progress: Ops=23000 | Reads=11500 (Fails=0) | Writes=11500 (Fails=0) | Success Rate=100.00% | Elapsed=696.8s
[2026-06-16 15:59:10] Progress: Ops=23200 | Reads=11600 (Fails=0) | Writes=11600 (Fails=0) | Success Rate=100.00% | Elapsed=702.7s
[2026-06-16 15:59:16] Progress: Ops=23400 | Reads=11700 (Fails=0) | Writes=11700 (Fails=0) | Success Rate=100.00% | Elapsed=708.7s
[2026-06-16 15:59:22] Progress: Ops=23600 | Reads=11800 (Fails=0) | Writes=11800 (Fails=0) | Success Rate=100.00% | Elapsed=714.6s
[2026-06-16 15:59:28] Progress: Ops=23800 | Reads=11900 (Fails=0) | Writes=11900 (Fails=0) | Success Rate=100.00% | Elapsed=720.8s
[2026-06-16 15:59:34] Progress: Ops=24000 | Reads=12000 (Fails=0) | Writes=12000 (Fails=0) | Success Rate=100.00% | Elapsed=726.7s
[2026-06-16 15:59:40] Progress: Ops=24200 | Reads=12100 (Fails=0) | Writes=12100 (Fails=0) | Success Rate=100.00% | Elapsed=732.6s
[2026-06-16 15:59:46] Progress: Ops=24400 | Reads=12200 (Fails=0) | Writes=12200 (Fails=0) | Success Rate=100.00% | Elapsed=738.5s
[2026-06-16 15:59:52] Progress: Ops=24600 | Reads=12300 (Fails=0) | Writes=12300 (Fails=0) | Success Rate=100.00% | Elapsed=744.5s
[2026-06-16 15:59:58] Progress: Ops=24800 | Reads=12400 (Fails=0) | Writes=12400 (Fails=0) | Success Rate=100.00% | Elapsed=750.4s
[2026-06-16 16:00:04] Progress: Ops=25000 | Reads=12500 (Fails=0) | Writes=12500 (Fails=0) | Success Rate=100.00% | Elapsed=756.3s
[2026-06-16 16:00:10] Progress: Ops=25200 | Reads=12600 (Fails=0) | Writes=12600 (Fails=0) | Success Rate=100.00% | Elapsed=762.3s
[2026-06-16 16:00:16] Progress: Ops=25400 | Reads=12700 (Fails=0) | Writes=12700 (Fails=0) | Success Rate=100.00% | Elapsed=768.5s
[2026-06-16 16:00:23] Progress: Ops=25600 | Reads=12800 (Fails=0) | Writes=12800 (Fails=0) | Success Rate=100.00% | Elapsed=775.3s
[2026-06-16 16:00:30] Progress: Ops=25800 | Reads=12900 (Fails=0) | Writes=12900 (Fails=0) | Success Rate=100.00% | Elapsed=782.1s
[2026-06-16 16:00:37] Progress: Ops=26000 | Reads=13000 (Fails=0) | Writes=13000 (Fails=0) | Success Rate=100.00% | Elapsed=789.6s
[2026-06-16 16:00:44] Progress: Ops=26200 | Reads=13100 (Fails=0) | Writes=13100 (Fails=0) | Success Rate=100.00% | Elapsed=796.2s
[2026-06-16 16:00:53] Progress: Ops=26400 | Reads=13200 (Fails=0) | Writes=13200 (Fails=0) | Success Rate=100.00% | Elapsed=804.9s
[2026-06-16 16:01:01] Progress: Ops=26600 | Reads=13300 (Fails=0) | Writes=13300 (Fails=0) | Success Rate=100.00% | Elapsed=813.3s
[2026-06-16 16:01:10] Progress: Ops=26800 | Reads=13400 (Fails=0) | Writes=13400 (Fails=0) | Success Rate=100.00% | Elapsed=822.3s
[2026-06-16 16:01:18] Progress: Ops=27000 | Reads=13500 (Fails=0) | Writes=13500 (Fails=0) | Success Rate=100.00% | Elapsed=830.2s
[2026-06-16 16:01:26] Progress: Ops=27200 | Reads=13600 (Fails=0) | Writes=13600 (Fails=0) | Success Rate=100.00% | Elapsed=838.4s
